                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.74949,                0.36679,                0.79992,                0.83224,                 0.5793,                0.67595,                0.47024,                0.72668,                0.34978,                 0.7966,               0.006535,               0.006535,               0.006535
                     38,                0.74896,                0.36755,                0.79973,                0.82638,                0.58234,                0.67848,                0.47105,                0.71866,                0.34647,                0.79577,               0.006436,               0.006436,               0.006436
                     39,                 0.7469,                0.36606,                0.79827,                0.81605,                0.58858,                0.67799,                0.47142,                   0.72,                0.34382,                0.79586,               0.006337,               0.006337,               0.006337
                     40,                0.73813,                0.36234,                0.79818,                 0.8238,                0.59215,                0.68549,                0.47866,                0.71775,                0.34158,                0.79649,               0.006238,               0.006238,               0.006238
                     41,                0.73662,                0.36046,                0.79853,                 0.8222,                0.59442,                0.68347,                0.47603,                0.71499,                0.34156,                0.79595,               0.006139,               0.006139,               0.006139
                     42,                0.73688,                0.36029,                0.79611,                0.82145,                0.59473,                0.68231,                0.47596,                0.70998,                0.33861,                0.79571,                0.00604,                0.00604,                0.00604
                     43,                0.73231,                 0.3583,                0.79801,                0.82511,                0.59552,                0.68126,                0.47312,                0.71016,                0.33816,                0.79503,               0.005941,               0.005941,               0.005941
                     44,                0.72813,                 0.3556,                0.79541,                 0.8257,                0.59748,                0.68608,                0.47876,                 0.7085,                0.33611,                0.79407,               0.005842,               0.005842,               0.005842
                     45,                0.72386,                0.35402,                0.79504,                0.83659,                 0.5911,                0.68861,                0.47913,                0.70773,                0.33534,                0.79547,               0.005743,               0.005743,               0.005743
                     46,                0.72547,                0.35369,                0.79683,                0.82326,                 0.5961,                 0.6888,                0.48168,                0.70727,                0.33519,                0.79497,               0.005644,               0.005644,               0.005644
                     47,                0.72068,                  0.354,                0.79577,                0.82216,                0.59184,                0.68616,                0.48253,                0.70648,                0.33493,                0.79451,               0.005545,               0.005545,               0.005545
                     48,                0.71779,                0.34889,                0.79659,                0.82777,                0.59486,                0.68842,                0.48192,                0.70335,                0.33304,                0.79453,               0.005446,               0.005446,               0.005446
                     49,                0.71478,                 0.3492,                0.79494,                0.82374,                0.59968,                 0.6922,                0.48583,                0.70268,                0.33116,                 0.7945,               0.005347,               0.005347,               0.005347
                     50,                 0.7055,                0.34382,                0.79371,                0.82196,                0.59941,                0.69546,                0.48809,                0.70173,                0.33008,                0.79442,               0.005248,               0.005248,               0.005248
                     51,                0.70594,                 0.3431,                0.79372,                0.82458,                0.59905,                0.69357,                0.48752,                0.70149,                0.32986,                 0.7941,               0.005149,               0.005149,               0.005149
                     52,                0.69984,                0.34261,                0.79324,                0.83038,                0.59856,                0.69355,                0.48806,                 0.7024,                0.32994,                0.79414,                0.00505,                0.00505,                0.00505
                     53,                0.70387,                0.34119,                0.79381,                0.82626,                0.60226,                 0.6954,                0.48981,                0.69916,                 0.3269,                0.79365,               0.004951,               0.004951,               0.004951
                     54,                    0.7,                0.33826,                 0.7936,                0.82605,                0.60111,                0.69659,                0.49124,                0.69475,                0.32517,                 0.7939,               0.004852,               0.004852,               0.004852
                     55,                0.69615,                0.33708,                0.79315,                0.83065,                0.60292,                0.69744,                 0.4919,                0.69546,                0.32766,                0.79325,               0.004753,               0.004753,               0.004753
                     56,                0.69396,                0.33595,                0.79233,                0.82428,                0.60583,                0.69706,                0.49175,                0.69546,                0.32625,                0.79347,               0.004654,               0.004654,               0.004654
                     57,                0.68744,                0.33314,                0.79249,                0.83039,                0.59996,                 0.6982,                0.49409,                0.69205,                0.32419,                0.79338,               0.004555,               0.004555,               0.004555
                     58,                0.68556,                0.33081,                0.79073,                0.83087,                0.60229,                0.69763,                0.49387,                0.69151,                0.32319,                0.79294,               0.004456,               0.004456,               0.004456
