                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.72819,                0.35642,                 0.7968,                0.82561,                0.59754,                0.69074,                0.48404,                0.70995,                0.33768,                0.79417,               0.006535,               0.006535,               0.006535
                     38,                0.72922,                0.35542,                0.79736,                0.82393,                0.60169,                0.69093,                0.48354,                0.70861,                 0.3381,                0.79462,               0.006436,               0.006436,               0.006436
                     39,                 0.7272,                0.35322,                0.79717,                0.81757,                0.60282,                0.69094,                0.48641,                0.70311,                0.33616,                0.79343,               0.006337,               0.006337,               0.006337
                     40,                0.72095,                0.35363,                0.79658,                0.82502,                0.59924,                0.69276,                0.48657,                0.70433,                0.33361,                0.79341,               0.006238,               0.006238,               0.006238
                     41,                0.71761,                0.34871,                0.79719,                0.81975,                0.60506,                0.69156,                0.48759,                0.70174,                0.33362,                0.79288,               0.006139,               0.006139,               0.006139
                     42,                0.71879,                0.34902,                0.79615,                 0.8251,                0.60446,                0.69851,                0.49262,                0.70023,                0.32874,                 0.7935,                0.00604,                0.00604,                0.00604
                     43,                0.71418,                0.34706,                0.79719,                0.81768,                0.60543,                0.69125,                0.49034,                 0.7001,                0.33135,                0.79208,               0.005941,               0.005941,               0.005941
                     44,                0.71346,                0.34566,                0.79565,                0.81907,                 0.6067,                0.69385,                0.48777,                0.69709,                0.32979,                0.79199,               0.005842,               0.005842,               0.005842
                     45,                0.70996,                0.34497,                0.79605,                0.82567,                0.61084,                0.70211,                0.49581,                0.69598,                0.32675,                0.79195,               0.005743,               0.005743,               0.005743
                     46,                0.70923,                0.34379,                0.79525,                 0.8345,                0.60708,                0.70212,                0.49507,                0.69197,                0.32655,                0.79161,               0.005644,               0.005644,               0.005644
                     47,                0.70559,                 0.3429,                0.79432,                0.82632,                0.60662,                0.70041,                0.49622,                0.69365,                0.32703,                0.79186,               0.005545,               0.005545,               0.005545
                     48,                 0.6941,                0.33625,                0.79232,                 0.8354,                0.60703,                0.70356,                0.50081,                0.68975,                0.32377,                0.79066,               0.005446,               0.005446,               0.005446
                     49,                0.70094,                0.33882,                0.79411,                0.83415,                0.60843,                0.70544,                0.49857,                0.68939,                0.32407,                0.79162,               0.005347,               0.005347,               0.005347
                     50,                0.68996,                0.33317,                0.79205,                0.83315,                 0.6123,                0.70683,                0.50163,                0.68712,                0.32305,                0.79125,               0.005248,               0.005248,               0.005248
                     51,                0.68479,                0.33224,                0.79122,                0.83294,                0.61694,                0.70835,                0.50293,                0.68468,                0.31978,                0.79064,               0.005149,               0.005149,               0.005149
                     52,                 0.6827,                0.33021,                0.79322,                0.82585,                0.61767,                0.70884,                0.50224,                0.68332,                0.31909,                0.79057,                0.00505,                0.00505,                0.00505
                     53,                 0.6792,                0.32821,                0.79225,                0.83127,                0.61265,                0.70971,                0.50501,                0.68561,                0.32059,                0.79138,               0.004951,               0.004951,               0.004951
                     54,                0.67897,                0.32965,                0.79237,                0.82724,                0.61201,                0.70713,                0.50483,                0.68225,                 0.3186,                0.79038,               0.004852,               0.004852,               0.004852
                     55,                0.67787,                0.32778,                0.79137,                 0.8303,                0.61449,                 0.7071,                0.50458,                0.67994,                0.31944,                0.79016,               0.004753,               0.004753,               0.004753
                     56,                0.67079,                0.32454,                0.78887,                0.82858,                0.61311,                0.70767,                0.50499,                0.67852,                0.31766,                0.78933,               0.004654,               0.004654,               0.004654
                     57,                0.66772,                0.32159,                0.79081,                0.83435,                0.61689,                0.71016,                0.50618,                0.67551,                0.31415,                0.78937,               0.004555,               0.004555,               0.004555
                     58,                0.66992,                0.32149,                0.78977,                 0.8347,                0.61499,                0.70926,                 0.5075,                0.67413,                0.31261,                0.78937,               0.004456,               0.004456,               0.004456
                     59,                0.66345,                0.31996,                0.78866,                0.83537,                0.61391,                0.71151,                0.50922,                0.67572,                0.31306,                0.78949,               0.004357,               0.004357,               0.004357
                     60,                0.66068,                0.31702,                0.78939,                0.84084,                0.61149,                 0.7122,                0.50937,                0.67609,                0.31299,                0.78964,               0.004258,               0.004258,               0.004258
                     61,                 0.6592,                0.31673,                0.78903,                0.83661,                0.61707,                0.71558,                0.51375,                0.67413,                0.31227,                0.78879,               0.004159,               0.004159,               0.004159
                     62,                0.65714,                 0.3173,                 0.7906,                0.83448,                0.62018,                 0.7135,                0.51307,                0.67232,                0.31025,                0.78931,                0.00406,                0.00406,                0.00406
                     63,                0.65387,                0.31516,                0.78929,                0.83408,                0.61736,                0.71488,                0.51368,                 0.6701,                0.30924,                0.78858,               0.003961,               0.003961,               0.003961
                     64,                0.64589,                0.31145,                0.78875,                0.83065,                0.61817,                 0.7136,                0.51233,                0.66913,                0.31101,                0.78857,               0.003862,               0.003862,               0.003862
                     65,                0.64563,                0.31023,                0.78616,                0.83411,                0.61516,                 0.7131,                0.51315,                0.66951,                0.31162,                0.78892,               0.003763,               0.003763,               0.003763
                     66,                0.64187,                0.30866,                0.78872,                0.83171,                0.61737,                 0.7143,                0.51475,                 0.6706,                0.30832,                0.78913,               0.003664,               0.003664,               0.003664
                     67,                0.63765,                0.30628,                0.78629,                0.83385,                0.61772,                0.71711,                0.51521,                0.66948,                0.30908,                0.78864,               0.003565,               0.003565,               0.003565
                     68,                0.63759,                 0.3062,                 0.7872,                0.83733,                0.61412,                0.71561,                0.51543,                0.66874,                0.30781,                0.78906,               0.003466,               0.003466,               0.003466
                     69,                0.63202,                0.30384,                0.78643,                0.83712,                 0.6161,                 0.7167,                0.51697,                0.66754,                0.30504,                0.78882,               0.003367,               0.003367,               0.003367
                     70,                0.62753,                0.29991,                0.78696,                0.83623,                0.61604,                 0.7177,                0.51811,                0.66576,                0.30527,                0.78807,               0.003268,               0.003268,               0.003268
                     71,                0.62657,                 0.3008,                0.78722,                0.83525,                0.61837,                0.71754,                0.51893,                 0.6641,                0.30569,                0.78781,               0.003169,               0.003169,               0.003169
                     72,                0.61768,                0.29552,                0.78532,                0.83203,                0.62057,                0.71989,                0.51938,                0.66491,                0.30536,                0.78836,                0.00307,                0.00307,                0.00307
                     73,                0.61715,                0.29493,                0.78533,                0.83195,                0.61872,                0.71912,                0.52019,                0.66154,                0.30367,                0.78739,               0.002971,               0.002971,               0.002971
