                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.7419,                0.36318,                0.79764,                0.82322,                0.59768,                0.68864,                0.48399,                0.71848,                0.34297,                0.79489,               0.006535,               0.006535,               0.006535
                     38,                0.73524,                0.35796,                0.79884,                  0.824,                0.60158,                0.69044,                0.48307,                0.71689,                0.33899,                0.79483,               0.006436,               0.006436,               0.006436
                     39,                0.73227,                0.35756,                0.79848,                0.82949,                0.59444,                0.68802,                0.48224,                0.71431,                0.34062,                0.79431,               0.006337,               0.006337,               0.006337
                     40,                0.72939,                0.35685,                0.79838,                0.82005,                0.60397,                0.68879,                0.48151,                0.71249,                0.33659,                0.79449,               0.006238,               0.006238,               0.006238
                     41,                0.72976,                0.35438,                0.79735,                0.82198,                0.60458,                0.69385,                0.48808,                0.71091,                0.33861,                0.79347,               0.006139,               0.006139,               0.006139
                     42,                0.72747,                0.35413,                0.79762,                0.82145,                0.60562,                0.69584,                0.49122,                0.70552,                0.33551,                0.79368,                0.00604,                0.00604,                0.00604
                     43,                0.71626,                0.34763,                0.79768,                0.82472,                0.60229,                0.69416,                0.48766,                0.70367,                0.33282,                0.79304,               0.005941,               0.005941,               0.005941
                     44,                 0.7159,                0.34997,                0.79626,                0.82891,                0.60162,                0.69195,                0.48921,                0.70567,                0.33343,                0.79296,               0.005842,               0.005842,               0.005842
                     45,                 0.7141,                 0.3479,                0.79563,                0.82492,                0.60331,                0.69331,                 0.4883,                0.70465,                0.33168,                0.79291,               0.005743,               0.005743,               0.005743
                     46,                0.71154,                0.34545,                 0.7963,                 0.8153,                0.60593,                 0.6943,                 0.4909,                 0.7031,                0.33289,                0.79327,               0.005644,               0.005644,               0.005644
                     47,                0.70641,                0.34479,                0.79543,                0.82891,                0.60171,                0.69657,                0.49145,                0.70483,                0.33132,                  0.793,               0.005545,               0.005545,               0.005545
                     48,                0.69988,                0.34038,                0.79413,                 0.8291,                0.60616,                0.69953,                0.49299,                0.70117,                0.32844,                0.79256,               0.005446,               0.005446,               0.005446
                     49,                0.70181,                0.33961,                0.79422,                0.83288,                0.60298,                0.69933,                0.49611,                 0.6987,                0.32704,                0.79257,               0.005347,               0.005347,               0.005347
