                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.78312,                0.38891,                0.79962,                0.82142,                0.57326,                0.66197,                0.44914,                0.75356,                0.36925,                0.79714,               0.006535,               0.006535,               0.006535
                     38,                 0.7802,                 0.3883,                0.79957,                0.82758,                0.57402,                0.66315,                0.45239,                0.75036,                0.36553,                 0.7958,               0.006436,               0.006436,               0.006436
                     39,                0.77391,                0.38517,                0.80004,                0.80975,                0.57598,                0.65721,                 0.4505,                0.74765,                0.36628,                0.79635,               0.006337,               0.006337,               0.006337
                     40,                0.76887,                0.38211,                0.79854,                0.80852,                0.57529,                0.66093,                0.45262,                0.74618,                0.36481,                0.79624,               0.006238,               0.006238,               0.006238
                     41,                0.76558,                0.38077,                0.79863,                0.80879,                0.57475,                0.66335,                0.45583,                0.74499,                 0.3616,                0.79582,               0.006139,               0.006139,               0.006139
                     42,                 0.7684,                0.38039,                0.79865,                0.80795,                0.58479,                0.67119,                0.46019,                0.74132,                0.36084,                0.79522,                0.00604,                0.00604,                0.00604
                     43,                0.76715,                0.37984,                0.79872,                 0.8144,                0.58132,                 0.6705,                0.46041,                0.73882,                0.35863,                0.79571,               0.005941,               0.005941,               0.005941
                     44,                0.75929,                0.37902,                0.79726,                0.81886,                0.57522,                0.66735,                0.45887,                0.74211,                0.36084,                0.79584,               0.005842,               0.005842,               0.005842
                     45,                0.76161,                0.37608,                0.79596,                0.81107,                0.58296,                0.66822,                0.45935,                0.73885,                0.35854,                0.79551,               0.005743,               0.005743,               0.005743
                     46,                0.75599,                0.37398,                0.79678,                 0.8114,                0.58755,                0.67583,                0.46446,                 0.7377,                0.35617,                0.79536,               0.005644,               0.005644,               0.005644
                     47,                0.75937,                0.37361,                0.79727,                0.82142,                0.58464,                0.67251,                0.46231,                0.73649,                0.35812,                0.79501,               0.005545,               0.005545,               0.005545
                     48,                0.75368,                0.37282,                0.79627,                0.81291,                0.58698,                0.67255,                0.46144,                0.73627,                0.35683,                 0.7945,               0.005446,               0.005446,               0.005446
                     49,                0.74941,                0.36899,                0.79549,                0.82159,                0.58534,                0.67615,                0.46579,                0.72984,                 0.3528,                0.79325,               0.005347,               0.005347,               0.005347
                     50,                0.74587,                0.36594,                0.79596,                0.81128,                0.58595,                0.67454,                0.46504,                0.73163,                0.35304,                 0.7943,               0.005248,               0.005248,               0.005248
                     51,                0.73942,                0.36586,                0.79478,                0.81253,                0.58691,                0.67337,                0.46336,                0.73117,                0.35061,                0.79372,               0.005149,               0.005149,               0.005149
                     52,                0.73469,                0.36274,                0.79421,                0.81182,                0.59192,                0.67643,                0.46845,                0.72669,                0.34929,                0.79345,                0.00505,                0.00505,                0.00505
                     53,                0.74041,                0.36494,                0.79382,                0.80958,                0.59547,                  0.678,                0.46919,                0.72725,                   0.35,                0.79319,               0.004951,               0.004951,               0.004951
                     54,                 0.7358,                0.36196,                0.79526,                0.82055,                0.58776,                0.67853,                0.47099,                0.72282,                0.34724,                0.79246,               0.004852,               0.004852,               0.004852
                     55,                0.73322,                0.36246,                0.79461,                0.81769,                0.58835,                0.67606,                0.46816,                0.72334,                0.34637,                0.79249,               0.004753,               0.004753,               0.004753
                     56,                0.72988,                0.35915,                0.79396,                0.81187,                0.59172,                0.67864,                0.47069,                0.72058,                0.34415,                0.79221,               0.004654,               0.004654,               0.004654
                     57,                0.73242,                0.35834,                0.79423,                0.81454,                0.59153,                0.67969,                0.47137,                0.71994,                 0.3432,                0.79254,               0.004555,               0.004555,               0.004555
                     58,                0.72327,                0.35544,                0.79271,                0.81992,                0.59207,                0.68025,                0.47313,                0.71861,                0.34428,                0.79283,               0.004456,               0.004456,               0.004456
                     59,                0.72213,                  0.355,                0.79364,                0.81453,                0.59546,                0.68175,                0.47516,                0.71651,                0.34124,                0.79221,               0.004357,               0.004357,               0.004357
                     60,                0.72039,                0.35294,                0.79342,                0.81622,                0.59387,                0.68176,                0.47305,                0.71883,                0.34223,                0.79233,               0.004258,               0.004258,               0.004258
                     61,                0.71785,                0.35129,                0.79229,                0.81883,                0.59217,                0.68331,                0.47362,                0.71924,                 0.3399,                0.79264,               0.004159,               0.004159,               0.004159
                     62,                0.71742,                0.35141,                0.79292,                0.81595,                0.59466,                 0.6848,                0.47642,                 0.7178,                0.34159,                0.79248,                0.00406,                0.00406,                0.00406
                     63,                0.71116,                0.34794,                0.79171,                0.81299,                0.59601,                0.68501,                0.47679,                0.71439,                 0.3394,                0.79156,               0.003961,               0.003961,               0.003961
                     64,                0.71102,                0.34878,                0.79049,                0.82078,                0.59129,                 0.6829,                 0.4758,                0.71133,                0.33751,                 0.7911,               0.003862,               0.003862,               0.003862
                     65,                0.70766,                 0.3456,                0.79075,                0.82194,                0.59107,                0.68378,                0.47654,                0.71338,                0.33754,                0.79191,               0.003763,               0.003763,               0.003763
                     66,                0.70257,                0.34249,                0.79142,                 0.8227,                0.59041,                0.68425,                0.47873,                0.71097,                0.33606,                 0.7915,               0.003664,               0.003664,               0.003664
                     67,                0.70348,                0.34297,                0.79021,                0.82167,                0.58917,                0.68302,                0.47832,                0.71046,                 0.3385,                0.79146,               0.003565,               0.003565,               0.003565
                     68,                0.70372,                0.34274,                0.79132,                0.81668,                 0.5934,                0.68487,                0.48053,                 0.7072,                0.33641,                0.79127,               0.003466,               0.003466,               0.003466
                     69,                0.69761,                0.34006,                 0.7909,                 0.8168,                 0.5944,                0.68614,                0.48173,                0.70847,                0.33665,                0.79154,               0.003367,               0.003367,               0.003367
                     70,                0.69124,                0.33653,                0.78984,                0.82772,                0.59546,                0.68867,                0.48115,                0.70816,                0.33617,                 0.7911,               0.003268,               0.003268,               0.003268
                     71,                0.69108,                0.33682,                 0.7894,                  0.815,                0.59978,                 0.6884,                0.48151,                0.70756,                0.33601,                0.79109,               0.003169,               0.003169,               0.003169
                     72,                0.68993,                0.33631,                0.78923,                 0.8192,                0.59324,                 0.6863,                0.48051,                0.70735,                0.33486,                0.79157,                0.00307,                0.00307,                0.00307
                     73,                0.68716,                0.33419,                0.78797,                0.81938,                0.59435,                0.68679,                0.48158,                0.70657,                0.33459,                0.79072,               0.002971,               0.002971,               0.002971
                     74,                0.68219,                0.33192,                0.78845,                 0.8183,                0.59678,                0.68826,                  0.482,                0.70621,                0.33345,                0.79087,               0.002872,               0.002872,               0.002872
                     75,                0.67935,                0.33012,                 0.7885,                0.82192,                0.59646,                0.68965,                0.48333,                0.70517,                0.33197,                0.79111,               0.002773,               0.002773,               0.002773
                     76,                0.68142,                0.32838,                0.78852,                0.82325,                0.59394,                0.69072,                0.48575,                0.70529,                0.33178,                0.79089,               0.002674,               0.002674,               0.002674
                     77,                 0.6746,                0.32705,                0.78675,                0.82512,                0.59297,                0.68883,                0.48458,                0.70456,                0.33102,                0.79133,               0.002575,               0.002575,               0.002575
                     78,                0.67495,                0.32665,                0.78873,                0.82274,                0.59503,                 0.6901,                0.48542,                0.70344,                0.33114,                0.79066,               0.002476,               0.002476,               0.002476
                     79,                0.67064,                0.32317,                0.78611,                0.82837,                0.59475,                0.69145,                0.48648,                0.70247,                0.33105,                0.79058,               0.002377,               0.002377,               0.002377
                     80,                0.66867,                0.32408,                0.78635,                0.82737,                0.59606,                0.69176,                0.48711,                0.70057,                0.32909,                0.79002,               0.002278,               0.002278,               0.002278
                     81,                0.66562,                0.32224,                0.78782,                0.83054,                0.59478,                0.69246,                0.48768,                0.69979,                0.32762,                0.79006,               0.002179,               0.002179,               0.002179
                     82,                0.65859,                0.31956,                0.78602,                 0.8292,                0.59401,                0.69091,                0.48672,                0.70103,                0.32872,                0.78981,                0.00208,                0.00208,                0.00208
                     83,                0.66107,                0.31853,                0.78606,                0.82673,                0.59458,                0.69186,                0.48728,                0.69994,                0.32818,                 0.7899,               0.001981,               0.001981,               0.001981
                     84,                0.65806,                0.31693,                  0.786,                0.82195,                0.59649,                0.69185,                0.48738,                0.70013,                0.32816,                0.79011,               0.001882,               0.001882,               0.001882
                     85,                0.65261,                0.31441,                0.78577,                0.82865,                0.59528,                 0.6928,                0.48846,                0.70028,                 0.3279,                0.79002,               0.001783,               0.001783,               0.001783
                     86,                0.65272,                0.31535,                  0.785,                0.82639,                0.59728,                0.69316,                0.48939,                0.69945,                0.32742,                0.78997,               0.001684,               0.001684,               0.001684
                     87,                0.64806,                 0.3123,                0.78581,                0.82499,                0.59636,                0.69236,                0.48856,                0.69974,                0.32748,                0.78996,               0.001585,               0.001585,               0.001585
                     88,                 0.6455,                0.31023,                0.78459,                0.81977,                0.59717,                0.69275,                0.48904,                0.69951,                0.32804,                0.78974,               0.001486,               0.001486,               0.001486
                     89,                0.64635,                0.31097,                0.78484,                0.82526,                0.59519,                0.69245,                0.48925,                0.69914,                0.32793,                0.78974,               0.001387,               0.001387,               0.001387
                     90,                0.63791,                0.30585,                0.78439,                0.82497,                0.59679,                0.69347,                0.49001,                 0.6991,                0.32793,                0.78966,               0.001288,               0.001288,               0.001288
                     91,                0.64786,                0.30906,                0.78146,                0.82466,                 0.5966,                0.69439,                0.49009,                0.70001,                0.32815,                0.78957,               0.001189,               0.001189,               0.001189
                     92,                0.64038,                 0.3061,                0.78164,                0.82051,                0.59682,                0.69271,                0.48879,                0.70028,                0.32806,                0.78981,                0.00109,                0.00109,                0.00109
                     93,                0.63514,                0.30299,                0.77992,                 0.8207,                0.59478,                0.69197,                0.48864,                0.70133,                0.32875,                0.79025,               0.000991,               0.000991,               0.000991
                     94,                0.63425,                0.30129,                0.78039,                0.82045,                0.59524,                0.69159,                 0.4883,                0.70149,                0.32896,                0.79054,               0.000892,               0.000892,               0.000892
                     95,                0.63023,                0.29907,                0.78117,                0.81844,                0.59814,                0.69212,                0.48845,                0.70149,                0.32932,                0.79088,               0.000793,               0.000793,               0.000793
                     96,                0.62567,                0.29715,                0.77885,                0.81939,                0.59747,                0.69213,                0.48882,                0.70231,                0.32907,                0.79095,               0.000694,               0.000694,               0.000694
                     97,                0.62064,                0.29301,                0.77949,                0.82013,                 0.5975,                0.69214,                0.48898,                0.70239,                0.32902,                0.79094,               0.000595,               0.000595,               0.000595
                     98,                 0.6169,                0.29149,                0.77988,                0.82331,                0.59541,                0.69266,                0.48918,                0.70276,                0.32918,                0.79087,               0.000496,               0.000496,               0.000496
                     99,                0.61378,                0.28999,                0.77956,                0.82472,                 0.5945,                0.69294,                0.48995,                0.70326,                0.32954,                0.79088,               0.000397,               0.000397,               0.000397
                    100,                 0.6114,                0.28969,                0.77766,                0.82123,                0.59606,                0.69332,                0.48993,                0.70293,                0.32993,                0.79081,               0.000298,               0.000298,               0.000298
