                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.86805,                0.43685,                0.81174,                0.79727,                0.53955,                0.61285,                0.39953,                0.82617,                0.41452,                0.80603,               0.006535,               0.006535,               0.006535
                     38,                0.86127,                0.43316,                0.81096,                0.78944,                0.54348,                0.62253,                0.41181,                0.82436,                0.41121,                0.80639,               0.006436,               0.006436,               0.006436
                     39,                0.86188,                0.43268,                0.81046,                 0.7977,                0.54434,                0.62596,                0.41293,                0.82113,                 0.4078,                0.80536,               0.006337,               0.006337,               0.006337
                     40,                0.85558,                0.43128,                0.80934,                0.79411,                0.54641,                0.62298,                0.40812,                0.81356,                0.40435,                0.80543,               0.006238,               0.006238,               0.006238
                     41,                0.85269,                0.42952,                0.80931,                0.79421,                0.55166,                0.62955,                0.41686,                0.81065,                0.40162,                0.80456,               0.006139,               0.006139,               0.006139
                     42,                0.85302,                0.42817,                0.80884,                0.79776,                0.54825,                0.62905,                0.41574,                0.81198,                0.40472,                0.80438,                0.00604,                0.00604,                0.00604
                     43,                0.84255,                 0.4237,                0.80861,                0.80349,                0.54532,                0.62634,                0.41273,                0.80661,                0.40094,                0.80524,               0.005941,               0.005941,               0.005941
                     44,                0.84739,                 0.4256,                0.80789,                0.78987,                0.54353,                 0.6231,                0.40932,                0.81363,                0.40119,                0.80454,               0.005842,               0.005842,               0.005842
                     45,                0.83707,                 0.4216,                0.80871,                0.79107,                0.54758,                 0.6242,                0.41469,                0.80129,                 0.3981,                0.80393,               0.005743,               0.005743,               0.005743
                     46,                0.83832,                0.41819,                0.80865,                0.80648,                 0.5472,                0.63095,                0.41881,                0.80115,                0.39553,                0.80406,               0.005644,               0.005644,               0.005644
                     47,                0.83772,                0.41901,                 0.8077,                0.80002,                0.55096,                0.62731,                0.41796,                0.79741,                0.39331,                0.80287,               0.005545,               0.005545,               0.005545
                     48,                0.83273,                0.41756,                0.80771,                0.80176,                 0.5545,                  0.632,                0.41977,                0.80002,                0.39353,                0.80356,               0.005446,               0.005446,               0.005446
                     49,                0.82892,                 0.4138,                0.80534,                0.80927,                0.54809,                 0.6308,                0.42132,                0.79348,                0.39245,                0.80183,               0.005347,               0.005347,               0.005347
                     50,                0.82665,                0.41362,                0.80517,                0.79526,                0.55518,                 0.6342,                 0.4229,                0.79512,                0.38943,                0.80269,               0.005248,               0.005248,               0.005248
                     51,                0.82249,                0.41045,                0.80579,                0.80103,                0.55254,                0.63191,                0.42137,                0.79453,                 0.3903,                 0.8024,               0.005149,               0.005149,               0.005149
                     52,                0.81968,                 0.4097,                0.80651,                0.80177,                0.55596,                0.63555,                0.42438,                0.78472,                0.38874,                0.80024,                0.00505,                0.00505,                0.00505
                     53,                0.82393,                0.40979,                0.80581,                0.80113,                0.55205,                0.63556,                0.42519,                0.78662,                0.38782,                0.80137,               0.004951,               0.004951,               0.004951
                     54,                 0.8167,                0.40815,                 0.8059,                0.79885,                 0.5514,                0.63484,                0.42454,                0.78786,                0.38737,                0.80119,               0.004852,               0.004852,               0.004852
                     55,                0.81296,                0.40601,                0.80481,                0.80702,                0.55268,                0.63859,                0.42664,                0.79143,                0.38704,                 0.8014,               0.004753,               0.004753,               0.004753
                     56,                0.81141,                0.40431,                0.80299,                0.80285,                0.55068,                0.63781,                  0.428,                0.78158,                0.38173,                0.80012,               0.004654,               0.004654,               0.004654
                     57,                0.80888,                0.40364,                0.80516,                0.80274,                0.55518,                0.63842,                 0.4292,                0.78106,                0.38147,                 0.8001,               0.004555,               0.004555,               0.004555
                     58,                0.80651,                0.40005,                0.80345,                0.79366,                0.56113,                0.63856,                0.42871,                0.78137,                0.38013,                0.80021,               0.004456,               0.004456,               0.004456
                     59,                0.81028,                0.40114,                0.80495,                  0.803,                0.55712,                0.63973,                0.42986,                0.77733,                0.37967,                0.79972,               0.004357,               0.004357,               0.004357
                     60,                0.80366,                0.39809,                0.80182,                0.78995,                0.56153,                0.64286,                0.43195,                0.77936,                0.37926,                0.79968,               0.004258,               0.004258,               0.004258
                     61,                0.80127,                0.39742,                0.80406,                0.80467,                0.56021,                0.64457,                0.43393,                0.77596,                0.37734,                0.79971,               0.004159,               0.004159,               0.004159
                     62,                0.80305,                0.39688,                0.80303,                0.80777,                0.56157,                 0.6462,                0.43295,                0.77696,                0.37659,                 0.7995,                0.00406,                0.00406,                0.00406
                     63,                0.79904,                0.39551,                0.80292,                0.80033,                 0.5598,                0.64524,                0.43333,                0.77369,                0.37559,                0.79919,               0.003961,               0.003961,               0.003961
                     64,                0.79399,                0.39296,                0.80202,                0.80726,                0.56227,                0.64773,                0.43698,                0.77275,                0.37328,                0.79904,               0.003862,               0.003862,               0.003862
                     65,                0.79253,                0.39329,                0.80025,                0.80095,                0.56292,                0.64559,                0.43533,                  0.771,                 0.3729,                0.79891,               0.003763,               0.003763,               0.003763
                     66,                0.78896,                 0.3896,                0.80048,                0.80267,                0.56309,                0.64685,                0.43493,                0.77068,                0.37258,                0.79864,               0.003664,               0.003664,               0.003664
                     67,                0.78451,                0.38996,                0.80252,                0.80113,                0.56153,                0.64736,                 0.4368,                0.77001,                0.37215,                0.79869,               0.003565,               0.003565,               0.003565
                     68,                0.78822,                 0.3894,                 0.7999,                0.80233,                0.56472,                0.64593,                0.43564,                0.76773,                0.37026,                0.79807,               0.003466,               0.003466,               0.003466
                     69,                0.78334,                0.38607,                0.80141,                0.81342,                0.56125,                0.64862,                0.43934,                0.76518,                0.36959,                0.79839,               0.003367,               0.003367,               0.003367
                     70,                0.78178,                0.38611,                0.79969,                0.80518,                0.56505,                0.65025,                0.43969,                0.76642,                0.36926,                0.79831,               0.003268,               0.003268,               0.003268
                     71,                0.78204,                0.38495,                0.79958,                0.80137,                0.57125,                0.65103,                0.43924,                0.76729,                0.36887,                0.79844,               0.003169,               0.003169,               0.003169
                     72,                0.77886,                0.38248,                0.80024,                0.81586,                0.56263,                0.65337,                0.44223,                0.76227,                0.36693,                0.79727,                0.00307,                0.00307,                0.00307
                     73,                 0.7757,                0.38216,                0.79896,                0.80207,                0.56688,                0.65203,                0.44174,                 0.7637,                0.36738,                0.79741,               0.002971,               0.002971,               0.002971
